Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'---, CHRISTINA ELAINE';['ALUMINIOS TIZONA'];21.0;29.62;11.57;4.43;7.86;0.56;0.0;0.0;0.0;2.71;3.95;0.69;3.24;4.81;8.05;0.29;1.0;1.19;0.76;0.14;0.0;3.1;0.9;13.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, HEIKE MARIA';['POOL GETAFE'];21.0;27.33;13.43;5.05;9.1;0.55;0.33;1.19;0.28;2.33;2.71;0.86;2.19;2.57;4.76;1.19;0.71;1.29;0.33;0.14;0.0;2.1;1.95;13.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, POLIMIA';['POPULAR BASQUET GODELLA'];22.0;35.55;13.59;4.91;9.5;0.52;0.05;0.14;0.33;3.64;5.14;0.71;1.95;5.0;6.95;0.36;1.27;1.91;0.14;0.41;0.0;2.14;4.36;16.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALAMO GONZALEZ, ELENA';['SANDRA GRAN CANARIA'];22.0;4.0;1.59;0.45;1.0;0.45;0.05;0.09;0.5;0.55;0.82;0.67;0.09;0.18;0.27;0.27;0.09;0.41;0.09;0.14;0.05;1.05;0.55;0.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALONSO DIEGO, MARIA JOSE';['ALUMINIOS TIZONA'];19.0;11.11;3.32;0.68;1.95;0.35;0.21;1.11;0.19;1.32;1.79;0.74;0.32;0.63;0.95;0.79;0.63;0.84;0.05;0.05;0.0;2.05;0.79;0.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALONSO LOPEZ, MARIA PILAR';['POPULAR BASQUET GODELLA'];22.0;34.91;14.23;5.68;12.45;0.46;0.0;0.05;0.0;2.86;4.0;0.72;1.59;4.09;5.68;0.5;0.64;1.32;0.45;0.36;0.0;3.0;3.18;12.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALOY ATIENZA, MERCEDES';['POPULAR BASQUET GODELLA'];22.0;29.77;8.5;2.82;6.18;0.46;0.32;1.27;0.25;1.91;2.55;0.75;1.18;2.14;3.32;0.95;1.45;1.09;0.18;0.5;0.0;2.27;2.5;8.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALVARO BASCUANA, ANA BELEN';['POPULAR BASQUET GODELLA'];22.0;36.77;16.68;3.36;6.27;0.54;1.68;5.68;0.3;4.91;5.45;0.9;0.68;2.0;2.68;3.05;2.59;1.86;0.05;0.36;0.0;2.91;4.32;16.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANDREU BALBUENA, ANA';['POPULAR BASQUET GODELLA'];19.0;3.47;0.16;0.05;0.37;0.14;0.0;0.0;0.0;0.05;0.11;0.5;0.0;0.11;0.11;0.05;0.05;0.05;0.05;0.0;0.0;0.42;0.05;-0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANTOJA ROVIRA, LAURA';['CE UNIVERSITARI'];11.0;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09;0.0;0.0;0.0;0.0;0.0;-0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANULA ALAMEDA, NIEVES';['POOL GETAFE'];21.0;33.29;15.05;4.1;7.38;0.55;1.24;3.19;0.39;3.14;3.67;0.86;0.71;1.95;2.67;2.9;2.38;1.81;0.38;0.24;0.05;1.52;3.24;17.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'APARICIO DE VICENTE, PATRICIA';['FEMENINO TRES CANTOS'];22.0;24.73;4.23;1.09;3.0;0.36;0.36;1.14;0.32;0.95;1.77;0.54;1.45;2.59;4.05;0.05;0.82;0.59;0.0;0.05;0.0;2.09;1.36;4.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARAMBURU GARAYALDE, LEIRE';['A.D. UNIVERSIDAD DE OVIEDO'];21.0;13.38;2.57;0.62;1.43;0.43;0.19;1.1;0.17;0.76;1.14;0.67;0.14;0.86;1.0;0.52;0.81;0.95;0.0;0.14;0.0;1.24;0.62;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARMENTA MONTEAGUDO, MARUXA';['CD ENSINO'];22.0;33.91;13.91;4.59;8.95;0.51;0.68;1.91;0.36;2.68;3.64;0.74;0.73;1.82;2.55;0.68;1.68;2.27;0.0;0.5;0.0;2.64;2.55;9.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARNAU VILATA, BEGOA';['POPULAR BASQUET GODELLA'];22.0;7.18;0.91;0.05;0.23;0.2;0.23;0.82;0.28;0.14;0.27;0.5;0.36;0.68;1.05;0.09;0.36;0.36;0.0;0.05;0.0;0.86;0.23;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AVENDAO VALEIRAS, ANDREA';['BANCO SIMEON'];22.0;4.41;0.91;0.18;0.64;0.29;0.18;0.55;0.33;0.0;0.09;0.0;0.18;0.36;0.55;0.05;0.09;0.27;0.0;0.0;0.0;0.45;0.09;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BARGALLO DIAZ, MIREIA';['CE UNIVERSITARI'];5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BARRIOS PEINADO, NATALIA';['ALUMINIOS TIZONA'];1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BAS MARTIN, PALOMA';['FEMENINO TRES CANTOS'];22.0;18.41;4.09;0.82;2.18;0.38;0.68;2.41;0.28;0.41;1.0;0.41;0.18;0.18;0.36;0.32;0.68;0.45;0.0;0.14;0.0;1.23;0.73;0.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BENJAMIN, ESTHER NIKKOLE';['FEMENINO TRES CANTOS'];9.0;16.56;2.78;1.33;4.0;0.33;0.0;0.0;0.0;0.11;0.56;0.2;1.0;2.0;3.0;0.33;1.0;1.11;0.67;0.56;0.0;1.89;1.33;2.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BEZOS MARTNEZ, EMMA';['ALUMINIOS TIZONA'];22.0;31.86;14.23;5.45;10.36;0.53;0.0;0.05;0.0;3.32;5.14;0.65;3.36;7.09;10.45;0.55;0.73;2.41;0.41;0.36;0.0;2.73;1.95;16.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BISETTI RODRIGUEZ, LUISA';['CE UNIVERSITARI'];22.0;28.5;9.5;3.05;7.41;0.41;0.18;0.77;0.24;2.86;4.23;0.68;0.27;0.77;1.05;0.77;0.73;1.45;0.0;0.32;0.0;1.95;1.5;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BYEARS, LATASHA NASHAY';['A.D. UNIVERSIDAD DE OVIEDO'];10.0;29.8;27.3;11.5;22.3;0.52;0.2;0.5;0.4;3.7;5.3;0.7;2.9;5.5;8.4;0.7;1.4;2.3;0.1;0.3;0.0;3.7;4.1;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CABALLERO BASURTO, VIRGINIA';['ALUMINIOS TIZONA'];12.0;0.83;0.42;0.08;0.25;0.33;0.0;0.0;0.0;0.25;0.67;0.38;0.0;0.17;0.17;0.0;0.0;0.08;0.0;0.0;0.0;0.17;0.08;-0.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CABRERA MEDINA, MONICA';['SANDRA GRAN CANARIA'];17.0;13.24;4.12;0.76;2.24;0.34;0.53;1.88;0.28;1.0;1.24;0.81;0.24;0.82;1.06;0.24;0.47;0.35;0.06;0.0;0.0;1.76;0.88;1.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CALLEJON HERRAZ, RAQUEL';['CE UNIVERSITARI'];8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
