Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b' DEFORGE, ANNA LOUISE';['HONDARRIBIA - IRÚN'];18.0;34.97;15.5;4.56;9.5;0.48;1.22;4.39;0.28;2.72;3.11;0.88;0.83;4.11;4.94;1.5;1.72;3.11;0.0;0.33;0.0;2.44;2.44;11.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ABALDE DIAZ, TAMARA';['RIVAS ECOPOLIS'];4.0;23.95;4.5;1.25;5.5;0.23;0.25;2.25;0.11;1.25;2.0;0.62;0.5;2.0;2.5;0.75;0.75;0.75;0.5;0.25;0.0;2.0;2.5;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ABROMAITE, AGNE';['MANN FILTER ZARAGOZA'];26.0;30.51;10.23;4.27;8.58;0.5;0.0;0.04;0.0;1.69;2.31;0.73;2.31;3.65;5.96;1.69;0.96;2.62;0.46;0.15;0.0;2.92;2.92;11.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AGUILAR LOPEZ, ELISA';['CIUDAD ROS CASARES VALENCIA'];19.0;21.86;7.53;1.37;2.63;0.52;1.47;3.84;0.38;0.37;0.53;0.7;0.21;1.63;1.84;3.47;0.79;1.37;0.05;0.05;0.0;0.63;0.58;8.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AGULLO PEREZ, CARLA';['MANN FILTER ZARAGOZA'];11.0;4.98;1.0;0.27;0.36;0.75;0.09;0.55;0.17;0.18;0.36;0.5;0.18;0.45;0.64;0.36;0.18;0.73;0.0;0.09;0.0;0.45;0.27;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALAA SEGURA, SHEILA';['PERFUMERIAS AVENIDA'];13.0;7.18;2.08;0.54;1.54;0.35;0.23;1.46;0.16;0.31;0.62;0.5;0.38;0.31;0.69;0.08;0.15;0.62;0.15;0.23;0.0;0.62;0.54;-0.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANTOJA ROVIRA, LAURA';['ARGÓN UNI GIRONA'];26.0;28.74;7.81;1.62;4.31;0.38;1.15;3.62;0.32;1.12;1.77;0.63;0.27;2.19;2.46;2.73;1.12;2.35;0.04;0.12;0.0;2.38;2.19;5.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARGELLO CUENCA, PATRICIA';['GRAN CANARIA 2014 LA CAJA DE CANARIAS'];26.0;26.9;9.77;1.58;3.81;0.41;1.65;4.35;0.38;1.65;1.85;0.9;0.38;2.04;2.42;1.35;0.73;1.65;0.08;0.35;0.04;2.23;1.92;6.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARGENTE GARRIDO, GLORIA MARA';['CIUDAD ROS CASARES VALENCIA'];1.0;3.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BADE, KRISSY';['PALACIO DE CONGRESOS DE IBIZA'];26.0;25.64;6.27;2.08;5.15;0.4;0.42;1.23;0.34;0.85;1.12;0.76;1.35;2.04;3.38;1.35;0.81;1.5;0.04;0.04;0.0;3.19;1.65;4.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BAHI BLANQUERA, GEORGINA';['ARGÓN UNI GIRONA'];22.0;15.38;3.41;1.09;2.32;0.47;0.27;0.91;0.3;0.41;0.82;0.5;0.64;1.45;2.09;0.5;0.41;1.27;0.09;0.23;0.0;2.45;0.91;1.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BARAUT GRAU, CLAUDIA';['CADI LA SEU D´URGELL'];1.0;0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BATTLE, ASHLEY MICHELLE';['ASEFA ESTUDIANTES'];12.0;33.32;10.25;2.42;6.0;0.4;1.17;3.75;0.31;1.92;2.33;0.82;1.08;5.25;6.33;2.83;1.75;2.83;0.08;0.17;0.0;2.5;2.42;11.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BAVENDAM, KATJA';['HONDARRIBIA - IRÚN'];26.0;31.28;11.73;4.15;9.12;0.46;0.0;0.65;0.0;3.42;4.58;0.75;2.15;4.85;7.0;0.88;0.77;2.81;1.0;0.23;0.0;2.96;4.88;13.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BELLIDO PEREZ, MERITXELL';['C.B. OLESA - ESPANYOL'];1.0;2.35;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.25;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BERMEJO MORENO, CLARA SUSANA';['RIVAS ECOPOLIS'];24.0;27.26;5.38;1.0;2.04;0.49;0.83;1.79;0.47;0.88;1.46;0.6;0.33;2.71;3.04;3.88;1.42;2.21;0.0;0.08;0.0;1.75;1.75;8.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BLANES MACHO, MARTA';['REAL CANOE N.C.'];25.0;33.76;11.28;2.08;4.16;0.5;1.56;4.56;0.34;2.44;3.84;0.64;0.68;3.8;4.48;1.36;2.88;1.56;0.52;0.32;0.0;2.72;4.44;13.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BLE, DOUKOLE VANESSA';['PALACIO DE CONGRESOS DE IBIZA'];17.0;22.92;6.18;2.71;5.24;0.52;0.0;0.12;0.0;0.76;1.35;0.57;1.59;4.24;5.82;1.29;1.29;1.88;0.29;0.24;0.0;2.65;1.65;8.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BOADA XAIRO, HELENA';['C.B. OLESA - ESPANYOL'];26.0;21.22;8.15;2.58;5.04;0.51;0.5;1.96;0.25;1.5;2.38;0.63;0.54;1.81;2.35;1.54;1.15;2.46;0.04;0.38;0.0;1.85;3.0;6.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BOGICEVIC, NINA';['ARGÓN UNI GIRONA'];24.0;10.54;3.25;1.04;2.88;0.36;0.21;0.79;0.26;0.54;0.83;0.65;0.58;1.46;2.04;0.21;0.33;0.58;0.08;0.21;0.0;0.83;0.67;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BOKESA ABIA, AURI LORENA';['ASEFA ESTUDIANTES'];26.0;18.96;2.31;0.69;2.19;0.32;0.23;1.46;0.16;0.23;0.58;0.4;1.19;2.58;3.77;0.38;0.96;1.12;0.35;0.12;0.0;1.65;0.77;2.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BOLIVAR RIGO, MIRIAM';['SOLLER JOVENTUT MARIANA'];5.0;1.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;-0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BOLONIO ABAD, MARIA JOSE';['PALACIO DE CONGRESOS DE IBIZA'];21.0;6.72;1.19;0.24;0.62;0.38;0.19;0.67;0.29;0.14;0.19;0.75;0.1;0.43;0.52;0.29;0.24;0.57;0.05;0.05;0.0;0.67;0.19;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BORGES DOS REIS, SONIA';['CADI LA SEU D´URGELL'];24.0;32.2;18.42;7.38;13.17;0.56;0.0;0.0;0.0;3.67;5.25;0.7;1.62;4.38;6.0;0.75;1.96;3.17;0.62;0.67;0.0;2.67;5.04;18.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
