Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'ABALDE DIAZ, TAMARA';['DURÁN MAQUINARIA ENSINO'];4.0;6.67;1.25;0.25;1.0;0.25;0.0;0.0;0.0;0.75;1.0;0.75;0.0;0.75;0.75;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.75;1.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AGIRRE MUOZ, ARRATE';['KUTXABANK ARASKI'];16.0;17.68;5.62;1.12;2.44;0.46;1.06;3.25;0.33;0.19;0.38;0.5;0.12;2.0;2.12;1.69;1.19;1.81;0.12;0.0;0.0;2.19;0.56;3.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALARCON OTERO, TXELL';['CAMPUS PROMETE'];30.0;21.0;4.77;0.93;2.63;0.35;0.73;2.13;0.34;0.7;1.0;0.7;0.57;1.33;1.9;0.77;0.47;0.7;0.03;0.07;0.0;1.8;1.27;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALARIE, ISABELLA AUGUSTINE';['PERFUMERIAS AVENIDA'];27.0;15.98;5.41;1.96;3.59;0.55;0.22;0.52;0.43;0.81;1.0;0.81;1.19;2.7;3.89;0.93;0.81;1.04;0.33;0.04;0.0;1.81;1.19;7.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALBERDI LARRUCEA, MARTA';['LOINTEK GERNIKA BIZKAIA'];20.0;6.52;0.6;0.15;0.55;0.27;0.0;0.45;0.0;0.3;0.3;1.0;0.2;0.4;0.6;0.5;0.2;0.65;0.0;0.05;0.0;0.8;0.55;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALIAGA ROMERO, LAURA';['DURÁN MAQUINARIA ENSINO'];30.0;24.24;7.87;0.97;2.5;0.39;1.67;4.5;0.37;0.93;1.1;0.85;0.3;1.5;1.8;1.1;0.77;0.9;0.13;0.07;0.0;1.53;1.13;5.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALLEN, JENNA LINN';['BAXI FERROL'];29.0;26.55;9.48;2.93;5.76;0.51;0.93;3.0;0.31;0.83;1.1;0.75;1.03;3.69;4.72;1.41;0.48;1.79;0.24;0.17;0.0;2.41;1.59;8.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALLEN, REBECCA';['VALENCIA B.C.'];24.0;24.5;11.46;1.46;3.88;0.38;2.42;4.92;0.49;1.29;1.67;0.78;0.54;3.33;3.88;1.54;1.25;1.0;0.71;0.08;0.04;1.88;1.58;12.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALONSO DE ARMIO RIAO, GRACIA';['KUTXABANK ARASKI'];28.0;19.45;4.11;1.39;2.93;0.48;0.29;1.46;0.2;0.46;0.71;0.65;1.5;1.89;3.39;1.21;0.79;1.14;0.29;0.07;0.0;2.61;1.11;4.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANGEL VILLEN, DAVINIA';['CAMPUS PROMETE'];15.0;1.38;0.27;0.13;0.2;0.67;0.0;0.2;0.0;0.0;0.0;0.0;0.07;0.2;0.27;0.0;0.07;0.0;0.0;0.0;0.0;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
