Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b' KONIG, AISLINN CHIA PI';['HOZONO GLOBAL JAIRIS'];18.0;24.12;9.0;0.94;2.72;0.35;2.17;7.11;0.3;0.61;0.72;0.85;0.33;0.72;1.06;1.61;0.83;1.0;0.11;0.22;0.0;1.11;0.5;4.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ABERASTURI ATXIKALLENDE, UXUE GOTZONE';['LOINTEK GERNIKA BIZKAIA'];1.0;0.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AIJANEN, MARIA ANNIINA';['EMBUTIDOS PAJARIEL BEMBIBRE PDM'];28.0;22.74;4.82;1.39;3.0;0.46;0.54;1.93;0.28;0.43;0.79;0.55;1.93;2.5;4.43;1.0;0.39;0.82;0.07;0.14;0.0;1.71;1.14;5.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALARCON OTERO, TXELL';['KUTXABANK ARASKI'];30.0;23.78;7.83;1.8;3.93;0.46;1.03;2.97;0.35;1.13;1.57;0.72;0.7;1.53;2.23;0.73;0.63;0.83;0.07;0.27;0.0;1.5;1.9;6.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALBERDI LARRUCEA, MARTA';['LOINTEK GERNIKA BIZKAIA'];2.0;6.76;2.0;1.0;1.0;1.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALIAGA ROMERO, LAURA';['DURÁN MAQUINARIA ENSINO'];30.0;19.51;4.57;0.67;1.83;0.36;0.97;3.87;0.25;0.33;0.4;0.83;0.5;1.43;1.93;0.67;0.53;0.47;0.03;0.07;0.0;1.7;0.43;1.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALONSO DE ARMIO RIAO, GRACIA';['CASADEMONT ZARAGOZA'];30.0;15.1;3.07;0.97;2.3;0.42;0.17;1.03;0.16;0.63;0.83;0.76;1.1;1.77;2.87;0.67;0.67;0.83;0.1;0.07;0.0;1.37;0.93;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANDERSON, JOLENE NANCY';['BARÇA CBS'];29.0;29.44;10.76;1.41;3.45;0.41;2.31;5.17;0.45;1.0;1.21;0.83;1.1;3.79;4.9;1.83;1.38;0.9;0.24;0.24;0.0;1.14;1.03;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANGEL VILLEN, DAVINIA';['CASADEMONT ZARAGOZA'];8.0;4.06;0.75;0.38;0.62;0.6;0.0;0.25;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.12;0.0;0.5;0.0;0.0;0.0;0.25;0.0;0.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARENAS DE LA HOZ, OLAIA';['LOINTEK GERNIKA BIZKAIA'];1.0;0.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
